1、 育慧里餐厅	小营东路3号北京凯基伦购物中心一层西侧
2、 京通新城餐厅	朝阳路杨闸环岛西北京通苑30号楼一层南侧
3、 黄寺大街餐厅	黄寺大街15号北京城乡黄寺商厦
4、 四季青桥餐厅	西四环北路117号北京欧尚超市F1、B1
5、 亦庄餐厅	北京经济开发区西环北路18号F1＋F2
6、 石园南大街餐厅	通顺路石园西区南侧北京顺义西单商场石园分店一层、二层部分
7、 北京南站餐厅	北京南站候车大厅B岛201号
8、 北清路餐厅	北京北清路1号146区
9、 大红门新世纪肯德基餐厅餐厅	海户屯北京新世纪服装商贸城一层南侧
10、 巴沟餐厅	巴沟路2号北京华联万柳购物中心一层
11、 亦庄沃尔玛餐厅	经济技术开发区文化园东路6号北京经开汇展中心1-2层
12、 通州北苑华联餐厅	杨庄北里五十二号天时名苑小区十四号楼北京华联南侧一层
13、 西环嘉茂餐厅	北京北站旁 凯德mall负一层
14、 日照银座餐厅餐厅	北京路与泰安路交汇处银座商城一楼
15、 荆州北京路餐厅	北京中路227号肯德基餐厅
16、 荆州月亮湾餐厅	沙市中商百货一楼北京路中路173号
17、 金山餐厅	建新镇金山大道100号北京金山05店面
18、 北京南站三餐厅	北京南站地下一层南大门内东侧场地快速进站口3与快速进站口4中间
19、 北京南站六餐厅	北京南站二层旅客出发层西南角（23B检票口）旁
20、 马坡汽车穿梭餐厅	马坡镇顺城大街29号北京乡村乐园一层
21、 新城外城DT餐厅	南四环成寿寺路308号北京城外诚家居广场停车广场
22、 铁路（西单商场）餐厅	北京南路895号铁路局西单商场1层肯德基餐厅
23、 苏州路餐厅	北京南路28号家乐福苏州路购物中心一层肯德基餐厅
24、 蒙苑餐厅	兴安北路169号北京华联一层
25、 南昌餐厅	南昌路982号新北京华联一层
26、 太原府东餐厅	府东街18号北京华联超一层
27、 金利餐厅	新华路138号鑫乐广场（北京华联超市旁）
28、 芜湖营盘山路餐厅	北京东路与营盘山路交叉口大润发超市一楼
29、 钢铁大街餐厅	钢铁大街与三八路交汇处西北角北京华联超市底店
30、 阜阳火车站餐厅	向阳路和北京东路交汇口
31、 淮安北京路苏果餐厅	北京新村五区新苑逸城
32、 小河餐厅	黔江路29号北京华联一层
33、 金阳82266155餐厅	金阳新区北京西路金源时代购物中心一层
34、 国酒路餐厅	仁怀市中枢镇酒都新区国酒大道超一时代广场一楼北京华联旁
35、 白云餐厅	北京路延长线大白庙村家乐福超市一楼
36、 北辰餐厅	北京路延长线财富中心E栋
37、 购物广场餐厅	北海大道与北京路交汇处北海城购物广场首层
38、 博乐友好餐厅	北京路与新华路交汇处友好购物中心肯德基餐厅
39、 梦时代餐厅	北京东路308号恒茂梦时代国际广场三号楼一层
40、 荆州万达餐厅	北京西路508号万达广场一层1001A
41、 洪泽大润发餐厅	北京路与建设路交汇处
42、 洪城大厦餐厅	西湖区北京西路156号一层洪城大厦肯德基
43、 福润德餐厅餐厅	北京南路433号大寨沟福润德一楼肯德基餐厅
44、 奎屯友好餐厅餐厅	飞鸿里北京东路3栋友好时尚购物中心1-2层
45、 徐州泉山大润发餐厅	北京路与欣欣路交叉口大润发超市一层
46、 大兴龙湖餐厅	龙湖北京大兴天街商业楼三层3F-10a铺位
47、 徐州铜山万达餐厅	北京北路19号
48、 银川悦海餐厅	尹家渠街东侧、枕水路南侧北京华联悦海新天地购物中心一层
49、 十堰万达餐厅	发展大道与北京路延长线交汇处
50、 银川新华联餐厅	通达北街以西北京路以北新华联广场1层、4层
51、 沧州高铁站餐厅	北京路西端头高铁站候车大厅二楼
52、 北海宁春城餐厅	北京路西、西南大道北和安.宁春城一期
53、 宣堡服务区北餐厅	京沪高速公路宣堡服务区北楼1+2(往北京方向)
54、 西郊百益餐厅餐厅	北京中路46号西郊百益超市一层
55、 仰忠汇餐厅	越秀区北京路168号二层自编B201/L201号铺
56、 南昌甜品站餐厅	南昌路982号北京华联5层
57、 北京肯德基有限公司紫码路餐厅餐厅	阎村镇乐活家园45号楼一层109号商铺、二层109号商铺、二层108号商铺
58、 拉萨功德林天街餐厅	北京中路47号1,2层
59、 橘洲一号餐厅	北京东三路18号橘洲一号（2栋负一楼商铺）首层
60、 十堰远洋国际餐厅	五堰街办北京北路83A号1幢2-1
61、 新机场2号餐厅	大兴区北京大兴国际机场国际抵港区域
62、 胜利门餐厅	沅陵县辰州中路北京公馆2栋1层
63、 观山湖印象城餐厅	北京西路与金阳南路交界处西南角
64、 沭阳万达餐厅	北京南路（原新城路22号）万达广场一层1030号商铺
65、 白云独立外卖点餐厅	北京路延长线大白庙村D-037负一层
